id,zip,city,state,city_type,zip_type,latitude,longitude,header_title,meta_description,meta_keywords,page_header,page_description,url_name
34158,78159,Smiley,TX,D,S,29.2410010,-97.5932910,,,,,,
34159,78160,Stockdale,TX,D,S,29.2322490,-97.9631960,,,,,,
34160,78161,Sutherland Springs,TX,D,S,29.2630310,-98.0675200,,,,,,
34161,78162,Tuleta,TX,D,P,28.5713750,-97.7968710,,,,,,
34162,78163,Bulverde,TX,D,S,29.6790280,-98.4114880,,,,,,
34163,78164,Yorktown,TX,D,S,28.9809140,-97.5056320,,,,,,
34164,78201,San Antonio,TX,D,S,29.4672400,-98.5300420,,,,,,
34165,78202,San Antonio,TX,D,S,29.4218250,-98.4658170,,,,,,
34166,78203,San Antonio,TX,D,S,29.4148260,-98.4620210,,,,,,
34167,78204,San Antonio,TX,D,S,29.3967420,-98.4999960,,,,,,
34168,78205,San Antonio,TX,D,S,29.4234720,-98.4873980,,,,,,
34169,78206,San Antonio,TX,D,S,29.4168070,-98.4985250,,,,,,
34170,78207,San Antonio,TX,D,S,29.4215860,-98.5231790,,,,,,
34171,78208,San Antonio,TX,D,S,29.4383570,-98.4570250,,,,,,
34172,78209,San Antonio,TX,D,S,29.4847220,-98.4655560,,,,,,
34173,78210,San Antonio,TX,D,S,29.3991310,-98.4703900,,,,,,
34174,78211,San Antonio,TX,D,S,29.3573050,-98.5598660,,,,,,
34175,78212,San Antonio,TX,D,S,29.4786110,-98.4872220,,,,,,
34176,78213,San Antonio,TX,D,S,29.5121140,-98.5238920,,,,,,
34177,78214,San Antonio,TX,D,S,29.3655130,-98.4874430,,,,,,
34178,78215,San Antonio,TX,D,S,29.4375630,-98.4810610,,,,,,
34179,78216,San Antonio,TX,D,S,29.5336840,-98.4894440,,,,,,
34180,78217,San Antonio,TX,D,S,29.5439760,-98.4198220,,,,,,
34181,78218,San Antonio,TX,D,S,29.5013000,-98.3977330,,,,,,
34182,78219,San Antonio,TX,D,S,29.4469200,-98.3809800,,,,,,
34183,78220,San Antonio,TX,D,S,29.4111250,-98.4038400,,,,,,
34184,78221,San Antonio,TX,D,S,29.3193420,-98.4962500,,,,,,
